"";"ships_from";"ships_to";"successful_transactions"
"807";"GB";"WW";190
"808";"GB";"GB";14
"809";"US";"US, WW";840
"810";"DE";"WW";110
"811";"WW";"WW";50
"812";"AU";"AU, NZ";32
"813";"US";"US";8
"814";"GB";"GB, EU";60
"815";"US";"US";110
"816";"GB";"GB";150
"817";"GB";"EU";1150
"818";"GB";"GB, WW";270
"819";"US";"US";90
"820";"US";"WW";160
"821";"NL";"WW";4
"822";"GB";"GB, EU";210
"823";"CA";"CA, EU";60
"824";"GB";"WW";2350
"825";"NL";"EU, WW";130
"826";"GB";"GB, EU";1950
"827";"GB";"WW, EU";820
"828";"US";"US";190
"829";"ES";"WW";100
"830";"AU";"AU, NZ";170
"831";"US";"US";80
"832";"US";"US";150
"833";"US";"US";110
"834";"NL";"WW";110
"835";"FR";"WW";260
"836";"DE";"WW";20
"837";"WW";"WW";80
"838";"NL";"EU";90
"839";"DE";"WW";250
"840";"DE";"WW";20
"841";"NL";"EU";90
"842";"NL";"WW";140
"843";"DE";"WW";20
"844";"NL";"EU";620
"845";"NL";"EU";70
"846";"NL";"EU";230
"847";"DE";"EU, GB";20
"848";"DE";"EU, GB";20
"849";"GB";"GB";280
"850";"CA";"WW";15
"851";"NL";"WW, EU";40
"852";"NL";"EU";460
"853";"NL";"EU";460
"854";"NL";"EU, ASIA";60
"855";"NL";"EU";5
"856";"DE";"WW";250
"857";"GB";"GB";150
"858";"GB";"GB, WW";110
"859";"DE";"EU, DE";13
"860";"FR";"FR, EU";540
"861";"DE";"EU";130
"862";"DE";"EU, DE";80
"863";"NL";"EU";230
"864";"NL";"EU";230
"865";"GB";"GB";280
"866";"GB";"GB";280
"867";"NL";"WW";140
"868";"NL";"WW";15
"869";"NL";"WW";310
"870";"DE";"WW";40
"871";"FR";"WW";260
"872";"FR";"WW";260
"873";"NL";"WW, EU";430
"874";"US";"US";110
"875";"DE";"DE, WW";600
"876";"DE";"DE, WW";3250
"877";"NL";"EU";180
"878";"DE";"DE, WW";3250
"879";"FR";"WW";17
"880";"WW";"WW";80
"881";"NL";"EU";90
"882";"DE";"WW";250
"883";"DE";"WW";20
"884";"NL";"EU";90
"885";"NL";"EU";620
"886";"NL";"EU";70
"887";"DE";"EU, GB";20
"888";"DE";"EU, GB";20
"889";"NL";"WW, EU";40
"890";"DE";"WW";250
"891";"FR";"FR, EU";540
"892";"NL";"WW";310
"893";"FR";"WW";260
"894";"NL";"WW, EU";430
"895";"DE";"EU, WW";80
"896";"DE";"WW";40
"897";"DE";"WW";540
"898";"NL";"EU";350
"899";"DE";"DE, WW";3250
"900";"DE";"DE, WW";28
"901";"NL";"WW";110
"902";"NL";"EU";180
"903";"DE";"EU, WW";100
"904";"BE";"WW";70
"905";"DE";"DE, WW";3250
"906";"DE";"DE";1700
"907";"NL";"WW";140
"908";"NL";"WW";140
"909";"NL";"WW";40
